"id","date","fear_greed_index","fear_greed_rating","vix","created_at","qqq_close","smh_close","spx_close","dji_close"
"22140","1/10/2021 00:00:00","18.3333",,"21.1","12/4/2026 22:56:10","350.32","124.43","4357.04","34326.46"
"22141","4/10/2021 00:00:00","9.5",,"22.96","12/4/2026 22:56:10","342.97","121.19","4300.46","34002.92"
"22142","5/10/2021 00:00:00","18.7667",,"21.3","12/4/2026 22:56:10","347.6","122.89","4345.72","34314.67"
"22143","6/10/2021 00:00:00","20.0667",,"21","12/4/2026 22:56:10","349.83","123.27","4363.55","34416.99"
"22144","7/10/2021 00:00:00","24.6",,"19.54","12/4/2026 22:56:10","353.04","124.8","4399.76","34754.94"
"22145","8/10/2021 00:00:00","25.2667",,"18.77","12/4/2026 22:56:10","351.28","123.59","4391.34","34746.25"
"22146","11/10/2021 00:00:00","25.9",,"20","12/4/2026 22:56:10","348.58","122.85","4361.19","34496.06"
"22147","12/10/2021 00:00:00","22.7",,"19.85","12/4/2026 22:56:10","347.37","121.61","4350.65","34378.34"
"22148","13/10/2021 00:00:00","24.1",,"18.64","12/4/2026 22:56:10","350.15","122.65","4363.8","34377.81"
"22149","14/10/2021 00:00:00","31.8333",,"16.86","12/4/2026 22:56:10","356.6","126.33","4438.26","34912.56"
"22150","15/10/2021 00:00:00","43.6333",,"16.3","12/4/2026 22:56:10","358.84","127.39","4471.37","35294.76"
"22151","18/10/2021 00:00:00","46.5667",,"16.31","12/4/2026 22:56:10","362.45","128.39","4486.46","35258.61"
"22152","19/10/2021 00:00:00","53.4",,"15.7","12/4/2026 22:56:10","365.19","129.86","4519.63","35457.31"
"22153","20/10/2021 00:00:00","56.5667",,"15.49","12/4/2026 22:56:10","364.72","129.29","4536.19","35609.34"
"22154","21/10/2021 00:00:00","60.2",,"15.01","12/4/2026 22:56:10","366.95","130.76","4549.78","35603.08"
"22155","22/10/2021 00:00:00","59.5",,"15.43","12/4/2026 22:56:10","363.86","129.61","4544.9","35677.02"
"22156","25/10/2021 00:00:00","62.9667",,"15.24","12/4/2026 22:56:10","367.59","130.26","4566.48","35741.15"
"22157","26/10/2021 00:00:00","63.0333",,"15.98","12/4/2026 22:56:10","368.74","131.01","4574.79","35756.88"
"22158","27/10/2021 00:00:00","58.3333",,"16.98","12/4/2026 22:56:10","369.6","129.9","4551.68","35490.69"
"22159","28/10/2021 00:00:00","64.4",,"16.53","12/4/2026 22:56:10","373.71","132.37","4596.42","35730.48"
"22160","29/10/2021 00:00:00","65.4333",,"16.26","12/4/2026 22:56:10","375.54","132.75","4605.38","35819.56"
"22161","1/11/2021 00:00:00","66.1333",,"16.41","12/4/2026 22:56:10","376.83","134.28","4613.67","35913.84"
"22162","2/11/2021 00:00:00","68.2667",,"16.03","12/4/2026 22:56:10","378.4","135.75","4630.65","36052.63"
"22163","3/11/2021 00:00:00","72.2",,"15.1","12/4/2026 22:56:10","382.42","137.1","4660.57","36157.58"
"22164","4/11/2021 00:00:00","72.4333",,"15.44","12/4/2026 22:56:10","387.32","142.77","4680.06","36124.23"
"22165","5/11/2021 00:00:00","73.6",,"16.48","12/4/2026 22:56:10","387.69","143.89","4697.53","36327.95"
